600679,LL
676703,PB
739595,C4
802679,H2
877749,LL
918868,E4
994697,BZ
1051075,PB
1091730,BZ
1161841,LL
1207700,H2
1252794,PB
1316697,E4
1366663,C4
1419759,BZ
1475907,E4
1531692,C4
1586702,LL
1651669,H2
1698667,BZ
1744734,E4
1787804,PB
1840846,BZ
1911830,C4
1960798,E4
2030910,PB
2098814,E4
2172270,H2
2244918,LL
2296728,BZ
2348903,C4
2409828,H2
2462905,BZ
2536794,C4
2609743,BZ
2671621,PB
2721655,H2
2788631,LL
2837867,C4
2896320,E4
2951235,H2
3012678,LL
3092707,PB
3162692,E4
3242754,LL
3292020,C4
3352849,H2
3394804,BZ
3466219,E4
3529813,C4
3604807,LL
3684839,PB
3762799,H2
3818712,C4
3859167,E4
3920657,BZ
3968758,PB
4016628,H2
4069637,LL
4112660,PB
