Frame Number,Time Stamp (ms),Buffer Index
462,7693,0
463,7709,0
464,7726,0
465,7743,0
466,7759,0
467,7776,0
468,7793,0
469,7809,0
470,7826,0
471,7843,0
472,7859,0
473,7876,0
474,7893,0
475,7909,0
476,7926,0
477,7943,0
478,7960,0
479,7976,0
480,7993,0
481,8010,0
482,8026,0
483,8043,0
484,8060,0
485,8077,0
486,8093,0
487,8110,0
488,8127,0
489,8143,0
490,8160,0
491,8177,0
492,8194,0
493,8210,0
494,8227,0
495,8243,0
496,8260,0
497,8277,0
498,8294,0
499,8310,0
500,8327,0
501,8344,0
502,8360,0
503,8377,0
504,8394,0
505,8410,0
506,8427,0
507,8444,0
508,8461,0
509,8477,0
510,8494,0
511,8511,0
512,8528,0
513,8544,0
514,8561,0
515,8577,0
516,8594,0
517,8611,0
518,8628,0
519,8644,0
520,8661,0
521,8677,0
522,8694,0
523,8711,0
524,8728,0
525,8744,0
526,8761,0
527,8777,0
528,8794,0
529,8811,0
530,8828,0
531,8844,0
532,8861,0
533,8878,0
534,8894,0
535,8911,0
536,8927,0
537,8943,0
538,8960,0
539,8977,0
540,8994,0
541,9010,0
542,9027,0
543,9044,0
544,9060,0
545,9077,0
546,9094,0
547,9110,0
548,9127,0
549,9144,0
550,9160,0
551,9177,0
552,9194,0
553,9211,0
554,9227,0
555,9244,0
556,9261,0
557,9277,0
558,9294,0
559,9311,0
560,9327,0
561,9344,0
562,9361,0
563,9377,0
564,9394,0
565,9411,0
566,9428,0
567,9444,0
568,9461,0
569,9478,0
570,9494,0
571,9511,0
572,9528,0
573,9544,0
574,9561,0
575,9578,0
576,9595,0
577,9611,0
578,9628,0
579,9645,0
580,9661,0
581,9678,0
582,9695,0
583,9711,0
584,9728,0
585,9745,0
586,9761,0
587,9778,0
588,9795,0
589,9811,0
590,9828,0
591,9845,0
592,9861,0
593,9878,0
594,9895,0
595,9911,0
596,9928,0
597,9945,0
598,9961,0
599,9978,0
600,9995,0
601,10011,0
602,10028,0
603,10045,0
604,10062,0
605,10078,0
606,10095,0
607,10112,0
608,10128,0
609,10145,0
610,10162,0
611,10178,0
612,10195,0
613,10212,0
614,10229,0
615,10245,0
616,10262,0
617,10279,0
618,10295,0
619,10312,0
620,10329,0
621,10345,0
622,10362,0
623,10379,0
624,10395,0
625,10412,0
626,10429,0
627,10445,0
628,10462,0
629,10479,0
630,10496,0
631,10513,0
632,10529,0
633,10546,0
634,10563,0
635,10579,0
636,10596,0
637,10612,0
638,10629,0
639,10646,0
640,10662,0
641,10679,0
642,10696,0
643,10713,0
644,10729,0
645,10746,0
646,10763,0
647,10779,0
648,10796,0
649,10813,0
650,10830,0
651,10846,0
652,10862,0
653,10879,0
654,10896,0
655,10913,0
656,10929,0
657,10946,0
658,10963,0
659,10980,0
660,10996,0
661,11013,0
662,11030,0
663,11046,0
664,11063,0
665,11080,0
666,11096,0
667,11113,0
668,11130,0
669,11147,0
670,11163,0
671,11179,0
672,11196,0
673,11213,0
674,11229,0
675,11246,0
676,11262,0
677,11279,0
678,11296,0
679,11313,0
680,11329,0
681,11346,0
682,11363,0
683,11379,0
684,11396,0
685,11413,0
686,11430,0
687,11447,0
688,11463,0
689,11480,0
690,11496,0
691,11513,0
692,11530,0
693,11547,0
694,11563,0
695,11580,0
696,11597,0
697,11613,0
698,11630,0
699,11647,0
700,11663,0
701,11680,0
702,11697,0
703,11713,0
704,11730,0
705,11747,0
706,11763,0
707,11780,0
708,11797,0
709,11814,0
710,11830,0
711,11847,0
712,11864,0
713,11881,0
714,11897,0
715,11913,0
716,11930,0
717,11947,0
718,11964,0
719,11980,0
720,11997,0
721,12013,0
722,12030,0
723,12047,0
724,12064,0
725,12081,0
726,12098,0
727,12114,0
728,12131,0
729,12147,0
730,12164,0
731,12181,0
732,12198,0
733,12214,0
734,12231,0
735,12247,0
736,12263,0
737,12280,0
738,12297,0
739,12314,0
740,12331,0
741,12347,0
742,12364,0
743,12381,0
744,12397,0
745,12414,0
746,12431,0
747,12448,0
748,12464,0
749,12481,0
750,12498,0
751,12514,0
752,12531,0
753,12547,0
754,12564,0
755,12581,0
756,12597,0
757,12614,0
758,12631,0
759,12647,0
760,12664,0
761,12681,0
762,12698,0
763,12714,0
764,12731,0
765,12747,0
766,12764,0
767,12781,0
768,12798,0
769,12814,0
770,12831,0
771,12848,0
772,12864,0
773,12881,0
774,12898,0
775,12914,0
776,12931,0
777,12948,0
778,12965,0
779,12981,0
780,12998,0
781,13015,0
782,13031,0
783,13048,0
784,13065,0
785,13082,0
786,13098,0
787,13114,0
788,13131,0
789,13148,0
790,13165,0
791,13182,0
792,13199,0
793,13215,0
794,13232,0
795,13248,0
796,13265,0
797,13281,0
798,13298,0
799,13315,0
800,13332,0
801,13348,0
802,13365,0
803,13382,0
804,13399,0
805,13415,0
806,13432,0
807,13449,0
808,13466,0
809,13482,0
810,13499,0
811,13515,0
812,13532,0
813,13549,0
814,13565,0
815,13582,0
816,13599,0
817,13615,0
818,13632,0
819,13648,0
820,13665,0
821,13682,0
822,13699,0
823,13715,0
824,13732,0
825,13749,0
826,13766,0
827,13782,0
828,13799,0
829,13816,0
830,13833,0
831,13849,0
832,13866,0
833,13882,0
834,13899,0
835,13915,0
836,13932,0
837,13948,0
838,13965,0
839,13982,0
840,13999,0
841,14015,0
842,14032,0
843,14049,0
844,14065,0
845,14082,0
846,14099,0
847,14115,0
848,14132,0
849,14149,0
850,14166,0
851,14183,0
852,14199,0
853,14216,0
854,14233,0
855,14249,0
856,14266,0
857,14283,0
858,14300,0
859,14316,0
860,14333,0
861,14350,0
862,14366,0
863,14382,0
864,14399,0
865,14416,0
866,14433,0
867,14449,0
868,14466,0
869,14483,0
870,14499,0
871,14516,0
872,14533,0
873,14549,0
874,14566,0
875,14583,0
876,14600,0
877,14616,0
878,14633,0
879,14650,0
880,14666,0
881,14683,0
882,14700,0
883,14716,0
884,14733,0
885,14750,0
886,14767,0
887,14783,0
888,14800,0
889,14816,0
890,14833,0
891,14850,0
892,14867,0
893,14883,0
894,14900,0
895,14917,0
896,14933,0
897,14950,0
898,14967,0
899,14983,0
900,15000,0
901,15017,0
902,15033,0
903,15050,0
904,15067,0
905,15084,0
906,15100,0
907,15117,0
908,15134,0
909,15150,0
910,15167,0
911,15183,0
912,15200,0
913,15217,0
914,15233,0
915,15250,0
916,15267,0
917,15283,0
918,15300,0
919,15317,0
920,15334,0
921,15350,0
922,15367,0
923,15384,0
924,15401,0
925,15417,0
926,15434,0
927,15450,0
928,15467,0
929,15484,0
930,15501,0
931,15517,0
932,15534,0
933,15551,0
934,15567,0
935,15585,0
936,15601,0
937,15617,0
938,15634,0
939,15651,0
940,15667,0
941,15684,0
942,15701,0
943,15718,0
944,15734,0
945,15751,0
946,15768,0
947,15784,0
948,15801,0
949,15818,0
950,15834,0
951,15851,0
952,15867,0
953,15884,0
954,15901,0
955,15918,0
956,15934,0
957,15951,0
958,15968,0
959,15985,0
960,16001,0
961,16018,0
962,16034,0
963,16051,0
964,16068,0
965,16085,0
966,16101,0
967,16118,0
968,16135,0
969,16151,0
970,16168,0
971,16185,0
972,16201,0
973,16218,0
974,16234,0
975,16252,0
976,16268,0
977,16285,0
978,16301,0
979,16318,0
980,16334,0
981,16351,0
982,16368,0
983,16385,0
984,16401,0
985,16418,0
986,16434,0
987,16452,0
988,16468,0
989,16485,0
990,16501,0
991,16519,0
992,16535,0
993,16552,0
994,16568,0
995,16586,0
996,16602,0
997,16619,0
998,16635,0
999,16652,0
1000,16669,0
1001,16685,0
1002,16702,0
1003,16719,0
1004,16735,0
1005,16752,0
1006,16769,0
1007,16786,0
1008,16802,0
1009,16819,0
1010,16835,0
1011,16852,0
1012,16869,0
1013,16885,0
1014,16902,0
1015,16919,0
1016,16935,0
1017,16951,0
1018,16969,0
1019,16985,0
1020,17001,0
1021,17019,0
1022,17035,0
1023,17052,0
1024,17069,0
1025,17086,0
1026,17102,0
1027,17119,0
1028,17135,0
1029,17152,0
1030,17169,0
1031,17186,0
1032,17202,0
1033,17219,0
1034,17236,0
1035,17253,0
1036,17269,0
1037,17285,0
1038,17302,0
1039,17319,0
1040,17335,0
1041,17352,0
1042,17368,0
1043,17385,0
1044,17402,0
1045,17419,0
1046,17436,0
1047,17453,0
1048,17469,0
1049,17485,0
1050,17502,0
1051,17520,0
1052,17536,0
1053,17553,0
1054,17569,0
1055,17587,0
1056,17603,0
1057,17619,0
1058,17636,0
1059,17653,0
1060,17670,0
1061,17686,0
1062,17702,0
1063,17719,0
1064,17736,0
1065,17753,0
1066,17769,0
1067,17786,0
1068,17802,0
1069,17820,0
1070,17836,0
1071,17853,0
1072,17869,0
1073,17886,0
1074,17903,0
1075,17920,0
1076,17936,0
1077,17954,0
1078,17970,0
1079,17987,0
1080,18003,0
1081,18020,0
1082,18036,0
1083,18053,0
1084,18070,0
1085,18087,0
1086,18103,0
1087,18121,0
1088,18137,0
1089,18153,0
1090,18169,0
1091,18187,0
1092,18203,0
1093,18220,0
1094,18236,0
1095,18254,0
1096,18270,0
1097,18287,0
1098,18303,0
1099,18320,0
1100,18336,0
1101,18353,0
1102,18369,0
1103,18387,0
1104,18403,0
1105,18421,0
1106,18437,0
1107,18454,0
1108,18470,0
1109,18488,0
1110,18503,0
1111,18521,0
1112,18537,0
1113,18554,0
1114,18570,0
1115,18587,0
1116,18603,0
1117,18621,0
1118,18637,0
1119,18654,0
1120,18670,0
1121,18687,0
1122,18704,0
1123,18721,0
1124,18737,0
1125,18754,0
1126,18770,0
1127,18787,0
1128,18804,0
1129,18821,0
1130,18837,0
1131,18854,0
1132,18870,0
1133,18887,0
1134,18904,0
1135,18921,0
1136,18937,0
1137,18954,0
1138,18970,0
1139,18988,0
1140,19004,0
1141,19022,0
1142,19038,0
1143,19055,0
1144,19071,0
1145,19089,0
1146,19104,0
1147,19120,0
1148,19137,0
1149,19155,0
1150,19171,0
1151,19188,0
1152,19205,0
1153,19222,0
1154,19238,0
1155,19254,0
1156,19270,0
1157,19288,0
1158,19305,0
1159,19321,0
1160,19338,0
1161,19354,0
1162,19372,0
1163,19388,0
1164,19404,0
1165,19422,0
1166,19438,0
1167,19455,0
1168,19471,0
1169,19488,0
1170,19505,0
1171,19521,0
1172,19538,0
1173,19555,0
1174,19571,0
1175,19588,0
1176,19604,0
1177,19621,0
1178,19638,0
1179,19655,0
1180,19671,0
1181,19688,0
1182,19704,0
1183,19721,0
1184,19738,0
1185,19755,0
1186,19771,0
1187,19788,0
1188,19805,0
1189,19821,0
1190,19838,0
1191,19855,0
1192,19871,0
1193,19888,0
1194,19905,0
1195,19922,0
1196,19938,0
1197,19955,0
1198,19971,0
1199,19989,0
1200,20005,0
1201,20022,0
1202,20038,0
1203,20055,0
1204,20071,0
1205,20088,0
1206,20105,0
