600650,BZ
669520,PB
724671,H2
787603,C4
831625,E4
873549,PB
953453,H2
1004515,LL
1068618,C4
1147779,PB
1194545,BZ
1241488,E4
1295556,LL
1373748,PB
1429698,H2
1480606,LL
1526635,E4
1582718,H2
1637563,LL
1682722,BZ
1739576,C4
1782697,PB
1848266,E4
1887524,H2
1950557,BZ
2023031,LL
2071565,C4
2129652,PB
2192714,E4
2234770,H2
2294729,C4
2360537,E4
2409509,BZ
2483720,LL
2562613,C4
2636683,E4
2696486,H2
2747582,BZ
2817895,C4
2866540,E4
2945561,PB
3010758,E4
3074692,H2
3121760,LL
3164684,BZ
3214650,PB
3289708,C4
3366667,BZ
3434626,H2
3503568,PB
3552671,E4
3615532,LL
3688717,C4
3744762,BZ
3824526,LL
3867550,PB
3920544,H2
3980520,LL
4022521,C4
4091655,BZ
